query,title,url,published,views
filariasis india,Eliminating Lymphatic filariasis- Global experience & current  status in Kerala - Prof Suma TK,https://www.youtube.com/watch?v=CU8CDXR1s9o,Streamed 3 years ago,1.7K views
filariasis india,Elephantiasis / Filariasis / Lymphedema Treatment,https://www.youtube.com/watch?v=zjvoFHCat8w,7 years ago,1.4M views
filariasis india,India unites to eliminate Lymphatic Filariasis,https://www.youtube.com/watch?v=zAr_QyQtsgY,3 years ago,1.5K views
filariasis india,Lymphatic filariasis - All you need to know,https://www.youtube.com/watch?v=Lf54xnJTua8,9 months ago,12K views
filariasis india,Integrative treatment for Lymphatic Filariasis and Lymphedema by Institute of Applied Dermatology,https://www.youtube.com/watch?v=FnevZV3IYlA,1 year ago,1.7K views
filariasis india,"Tribute to Dr. V. Kumaraswami: Lymphatic Filariasis in Odisha, India",https://www.youtube.com/watch?v=HiO93C5Zvpw,9 years ago,108K views
filariasis india,A National Symposium on 'India's Roadmap to Eliminate Lymphatic #Filariasis',https://www.youtube.com/watch?v=FeTkqGu4Rt0,Streamed 2 years ago,1.7K views
filariasis india,Hathipaon | Fighting Lymphatic Filariasis |  YES! I am the CHANGE 2018,https://www.youtube.com/watch?v=I1ViAgYcLfo,7 years ago,659 views
filariasis india,Full Treatment Protocol | Hindi | Lymphatic Filariasis Treatment | IAD India | integrative medicine,https://www.youtube.com/watch?v=batvfB7TAME,10 months ago,5.3K views
filariasis india,Dr. ETV | Filariasis |  20th Sep 2018 | డాక్టర్ ఈటీవీ,https://www.youtube.com/watch?v=XpWI1BZWtds,6 years ago,16K views
filariasis india,India - Oxford Collaboration on Filariasis Lymphoedema Treatment,https://www.youtube.com/watch?v=F8MgUmakfxU,7 years ago,3.4K views
filariasis india,"फाइलेरिया रोग,  जानें लक्षण और इलाज | Dr KML Srivastava on Filariasis in Hindi | Types & Causes",https://www.youtube.com/watch?v=z0iViijDgKo,3 years ago,356K views
filariasis india,Integrative Treatment for Lymphatic Filariasis Corporate Video,https://www.youtube.com/watch?v=UnwZ6bsk4a0,9 years ago,7.8K views
filariasis india,फाइलेरिया (हाथी पाँव) का परमानेंट इलाज। Filariasis। Elephantiasis। Filaria Ke Lakshan। #shorts,https://www.youtube.com/watch?v=FlOp1EO4Wl0,9 months ago,37K views
फाइलेरिया भारत,फाइलेरिया (Filariasis) को ठीक करने का आयुर्वेदिक नुस्खा || Acharya Balkrishna,https://www.youtube.com/watch?v=f30vNUc0c10,2 years ago,36K views
फाइलेरिया भारत,5 वर्ष पुरानी फाइलेरिया (Filariasis) की समस्या को 5 दिन में किया ठीक || Swami Ramdev,https://www.youtube.com/watch?v=FaRvmqKMqbA,2 years ago,296K views
फाइलेरिया भारत,भारत में फाइलेरिया किसके द्वारा फैलता है?,https://www.youtube.com/watch?v=ZmGX3icorn8,5 years ago,13 views
फाइलेरिया भारत,Filaria Free India – What happened?,https://www.youtube.com/watch?v=xNKpw5n35oU,10 years ago,3.3K views
फाइलेरिया भारत,लिम्फ़ैटिक फाइलेरिया से बचाव और इसके उन्मूलन के संकल्प|,https://www.youtube.com/watch?v=UDYoti8RNv0,4 months ago,33 views
फाइलेरिया भारत,फाइलेरिया के कारण लक्षण और उसके घरेलू उपाय,https://www.youtube.com/watch?v=xsXwIKxF0RM,8 years ago,114K views
फाइलेरिया भारत,"Filariasis Symptoms and Treatment: फाइलेरिया से बचने के लिए करें ये कुछ जरूरी काम, ऐसे कर सकते हैं ब",https://www.youtube.com/watch?v=0O8HXQgsYCw,2 years ago,65 views
फाइलेरिया भारत,filaria in India ..... awareness increasing program,https://www.youtube.com/watch?v=oxUHaaPI8jI,2 years ago,243 views
फाइलेरिया भारत,फाइलेरिया कैसे फैलता है और इसके लक्षण क्या हैं | How is filariasis spread and what are its symptoms?,https://www.youtube.com/watch?v=PDdAruZDXGI,1 year ago,29K views
फाइलेरिया भारत,"फाइलेरिया क्या है? – कारण, लक्षण, निदान, उपचार और आहार | Filariasis in Hindi",https://www.youtube.com/watch?v=oO2CM2knHRQ,2 years ago,220 views
फाइलेरिया भारत,भारत में फाइलेरिया का सबसे अच्छा इलाज क्या है? #filariasis #disease #bimari #education,https://www.youtube.com/watch?v=_5cM7KplFAo,1 year ago,457 views
फाइलेरिया भारत,#phaileriya (फाइलेरिया का रोग जनक क्या होता है।) #फाइलेरिया #short by rog gayan,https://www.youtube.com/watch?v=j9tWc4wN5hI,2 years ago,184 views
फाइलेरिया भारत,"Yoga Tips by Swami Ramdev: Filaria-Varicose पर योगिक प्रहार, जानिए Swami Ramdev से सटीक उपचार",https://www.youtube.com/watch?v=gGLN0jSiTkA,Streamed 2 years ago,74K views
फाइलेरिया भारत,#फाइलेरिया #भारत के 74 करोड़ लोगों को इस बीमारी का रिस्क #नई खबर नया असर,https://www.youtube.com/watch?v=l9Zhtzj7e3I,8 months ago,51 views
फाइलेरिया भारत,भारत को 2027 तक लिम्फ़ैटिक फाइलेरिया से मुक्ति करने का संकल्प|,https://www.youtube.com/watch?v=PLRP4EP4oDU,4 months ago,62 views
फाइलेरिया भारत,फाइलेरिया बिमारी फाइलेरिया संक्रमण मच्छरों के काटने से फैलती है।,https://www.youtube.com/watch?v=c_b-3-NRHlQ,1 year ago,260 views
फाइलेरिया भारत,राष्ट्रीय फाइलेरिया नियंत्रण कार्यक्रम II बी एससी चौथा वर्ष II सामुदायिक स्वास्थ्य नर्सिंग II,https://www.youtube.com/watch?v=qeUSN1C9Onc,4 years ago,12K views
